idx,e_max,offset,in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,out_0,out_1,out_2,out_3,out_4,out_5,out_6,out_7
596,40,-8,4741,1291,2583,5167,2142,4285,379,759,4229,779,2071,4655,1630,4096,0,247
597,61,-29,1518,3037,6075,3958,7917,7642,7093,5995,0,1181,4219,2102,6061,5786,5237,4139
598,59,-27,3798,7596,7001,5810,3429,6859,5527,2862,2070,5868,5273,4096,1701,5131,4096,1134
599,56,-24,5724,3256,6512,4833,1474,2948,5897,3602,4188,1720,4976,4096,0,1412,4361,2066
600,48,-16,7205,6218,4245,298,596,1192,2385,4770,6181,5194,4096,0,0,168,1361,4096
601,42,-10,1348,2697,5395,2599,5198,2205,4410,628,708,2057,4755,1959,4558,1565,4096,0
602,58,-26,1256,2513,5026,1861,3723,7447,6702,5213,0,849,4096,197,2059,5783,5038,4096
603,58,-26,2234,4469,747,1495,2991,5982,3772,7545,570,4096,0,0,1327,4318,2108,5881
604,60,-28,6899,5607,3023,6047,3902,7805,7418,6644,5107,4096,1231,4255,2110,6013,5626,4852
605,62,-30,5096,2000,4000,8000,7808,7424,6656,5121,4096,80,2080,6080,5888,5504,4736,4096
606,32,0,2050,4101,10,20,41,83,167,334,2050,4101,10,20,41,83,167,334
607,56,-24,668,1336,2673,5347,2503,5006,1821,3642,0,0,1137,4096,967,4096,285,2106
608,58,-26,7284,6377,4562,932,1864,3728,7456,6721,5620,4713,4096,0,200,2064,5792,5057
609,36,-4,5251,2310,4620,1049,2098,4197,203,407,4995,2054,4364,793,1842,4096,0,151
610,50,-18,815,1630,3260,6520,4848,1505,3010,6020,0,478,2108,5368,4096,353,1858,4868
611,60,-28,3848,7696,7201,6210,4228,265,531,1062,2056,5904,5409,4418,4096,0,0,0
612,38,-6,2125,4251,310,620,1241,2482,4964,1737,1741,4096,0,236,857,2098,4580,1353
613,54,-22,3474,6949,5707,3222,6445,4698,1204,2409,2066,5541,4299,1814,5037,4096,0,1001
614,52,-20,4819,1446,2893,5786,3380,6761,5330,2468,4096,166,1613,4506,2100,5481,4096,1188
615,52,-20,4936,1680,3360,6720,5248,2304,4609,1026,4096,400,2080,5440,4096,1024,4096,0
616,32,0,2053,4106,20,40,81,162,324,649,2053,4106,20,40,81,162,324,649
617,40,-8,1298,2596,5193,2194,4388,584,1168,2337,786,2084,4681,1682,4096,72,656,1825
618,36,-4,4674,1157,2314,4629,1066,2132,4265,339,4418,901,2058,4373,810,1876,4096,83
619,42,-10,678,1357,2714,5429,2667,5335,2479,4958,38,717,2074,4789,2027,4695,1839,4318
620,61,-29,1725,3451,6902,5613,3034,6068,3944,7888,0,1595,5046,4096,1178,4212,2088,6032
621,54,-22,7584,6977,5762,3333,6666,5140,2088,4176,6176,5569,4354,1925,5258,4096,680,4096
622,40,-8,160,320,641,1283,2567,5134,2077,4155,0,0,129,771,2055,4622,1565,4096
623,59,-27,118,237,475,951,1903,3807,7615,7039,0,0,0,0,175,2079,5887,5311
624,63,-31,5887,3582,7165,6138,4085,8171,8150,8109,4096,1598,5181,4154,2101,6187,6166,6125
625,61,-29,8026,7861,7530,6868,5545,2898,5797,3402,6170,6005,5674,5012,4096,1042,4096,1546
