idx,e_max,offset,in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,out_0,out_1,out_2,out_3,out_4,out_5,out_6,out_7
791,61,-29,5365,2539,5078,1964,3929,7859,7527,6862,4096,683,4096,108,2073,6003,5671,5006
792,58,-26,5533,2874,5748,3304,6609,5026,1860,3721,4096,1210,4096,1640,4945,4096,196,2057
793,52,-20,7442,6692,5193,2195,4390,589,1179,2359,6162,5412,4096,915,4096,0,0,1079
794,55,-23,4718,1244,2488,4976,1760,3520,7040,5888,4096,0,1016,4096,288,2048,5568,4416
795,56,-24,3585,7170,6148,4104,17,35,71,142,2049,5634,4612,4096,0,0,0,0
796,58,-26,285,570,1141,2282,4565,938,1877,3754,0,0,0,618,4096,0,213,2090
797,53,-21,7509,6827,5463,2735,5470,2748,5496,2801,6165,5483,4119,1391,4126,1404,4152,1457
798,60,-28,5603,3014,6028,3865,7730,7269,6346,4501,4096,1222,4236,2073,5938,5477,4554,4096
799,50,-18,811,1622,3244,6488,4784,1377,2755,5511,0,470,2092,5336,4096,225,1603,4359
800,48,-16,2830,5660,3129,6259,4327,463,926,1853,1806,4636,2105,5235,4096,0,0,829
801,61,-29,3706,7413,6634,5077,1963,3927,7855,7519,1850,5557,4778,4096,107,2071,5999,5663
802,63,-31,6847,5502,2813,5627,3063,6126,4061,8122,4863,4096,829,4096,1079,4142,2077,6138
803,61,-29,8053,7914,7636,7081,5971,3750,7500,6808,6197,6058,5780,5225,4115,1894,5644,4952
804,48,-16,5424,2657,5315,2438,4877,1563,3127,6255,4400,1633,4291,1414,4096,539,2103,5231
805,62,-30,4319,446,892,1785,3571,7143,6094,3996,4096,0,0,0,1651,5223,4174,2076
806,60,-28,7993,7794,7397,6602,5012,1832,3665,7330,6201,6002,5605,4810,4096,40,1873,5538
807,40,-8,6469,4747,1303,2606,5213,2234,4468,744,5957,4235,791,2094,4701,1722,4096,232
808,58,-26,1488,2976,5952,3713,7426,6660,5128,2065,0,1312,4288,2049,5762,4996,4096,401
809,35,-3,4131,70,141,282,565,1130,2260,4521,4096,0,0,90,373,938,2068,4329
810,53,-21,851,1702,3405,6811,5430,2669,5338,2485,0,358,2061,5467,4096,1325,4096,1141
811,54,-22,4970,1749,3498,6997,5802,3412,6825,5459,4096,341,2090,5589,4394,2004,5417,4096
812,42,-10,2727,5454,2716,5433,2675,5351,2511,5023,2087,4814,2076,4793,2035,4711,1871,4383
813,62,-30,1854,3708,7417,6642,5092,1993,3987,7974,0,1788,5497,4722,4096,73,2067,6054
814,57,-25,7756,7321,6450,4708,1225,2451,4903,1615,6156,5721,4850,4096,0,851,4096,15
815,61,-29,3230,6461,4730,1269,2538,5076,1961,3922,1374,4605,4096,0,682,4096,105,2066
816,58,-26,7845,7499,6806,5421,2651,5303,2415,4830,6181,5835,5142,4096,987,4096,751,4096
817,61,-29,1469,2939,5878,3564,7129,6067,3943,7887,0,1083,4096,1708,5273,4211,2087,6031
818,61,-29,7582,6973,5755,3318,6637,5082,1973,3947,5726,5117,4096,1462,4781,4096,117,2091
819,59,-27,7894,7597,7002,5813,3434,6869,5547,2903,6166,5869,5274,4096,1706,5141,4096,1175
820,53,-21,5807,3423,6847,5502,2813,5627,3063,6127,4463,2079,5503,4158,1469,4283,1719,4783
821,63,-31,4062,8124,8057,7923,7654,7117,6042,3893,2078,6140,6073,5939,5670,5133,4096,1909
822,57,-25,7787,7382,6572,4953,1715,3431,6862,5533,6187,5782,4972,4096,115,1831,5262,4096
823,58,-26,2874,5748,3305,6611,5031,1870,3740,7481,1210,4096,1641,4947,4096,206,2076,5817
824,57,-25,6771,5350,2508,5017,1842,3685,7371,6551,5171,4096,908,4096,242,2085,5771,4951
825,50,-18,4910,1628,3256,6512,4832,1472,2944,5889,4096,476,2104,5360,4096,320,1792,4737
826,56,-24,3587,7175,6159,4127,63,126,252,505,2051,5639,4623,4096,0,0,0,0
827,63,-31,1011,2023,4047,8094,7997,7802,7413,6634,0,39,2063,6110,6013,5818,5429,4650
828,61,-29,5076,1960,3920,7841,7491,6790,5389,2587,4096,104,2064,5985,5635,4934,4096,731
829,55,-23,5175,2159,4319,446,893,1786,3572,7144,4096,687,4096,0,0,314,2100,5672
830,62,-30,6096,4001,8003,7815,7438,6685,5179,2167,4176,2081,6083,5895,5518,4765,4096,247
831,59,-27,4335,478,957,1915,3830,7660,7128,6065,4096,0,0,187,2102,5932,5400,4337
832,61,-29,3938,7877,7562,6932,5673,3155,6311,4430,2082,6021,5706,5076,4096,1299,4455,4096
833,59,-27,669,1339,2679,5359,2526,5052,1913,3827,0,0,951,4096,798,4096,185,2099
834,60,-28,7655,7118,6044,3897,7795,7398,6604,5016,5863,5326,4252,2105,6003,5606,4812,4096
835,57,-25,1841,3683,7366,6541,4890,1589,3178,6357,241,2083,5766,4941,4096,0,1578,4757
836,53,-21,4522,853,1707,3414,6829,5467,2742,5485,4096,0,363,2070,5485,4123,1398,4141
837,54,-22,2778,5557,2923,5847,3502,7005,5819,3446,1370,4149,1515,4439,2094,5597,4411,2038
838,59,-27,6892,5593,2995,5990,3788,7577,6963,5735,5164,4096,1267,4262,2060,5849,5235,4096
839,51,-19,3278,6556,4921,1651,3302,6605,5019,1846,2062,5340,4096,435,2086,5389,4096,630
840,57,-25,3692,7384,6577,4962,1733,3466,6933,5675,2092,5784,4977,4096,133,1866,5333,4096
841,49,-17,3159,6319,4447,702,1404,2808,5617,3043,2071,5231,4096,0,316,1720,4529,1955
842,62,-30,6087,3982,7964,7737,7282,6372,4553,914,4167,2062,6044,5817,5362,4452,4096,0
843,57,-25,1828,3656,7312,6433,4674,1157,2315,4631,228,2056,5712,4833,4096,0,715,4096
844,47,-15,1071,2142,4284,376,752,1505,3011,6023,111,1182,4096,0,0,545,2051,5063
845,60,-28,3855,7710,7228,6264,4337,483,967,1935,2063,5918,5436,4472,4096,0,0,143
846,63,-31,3871,7743,7294,6397,4602,1012,2024,4048,1887,5759,5310,4413,4096,0,40,2064
847,62,-30,8096,8000,7808,7424,6657,5123,2054,4108,6176,6080,5888,5504,4737,4096,134,4096
848,51,-19,25,51,103,207,415,830,1661,3323,0,0,0,0,0,0,445,2107
849,62,-30,6647,5103,2014,4029,8058,7924,7657,7122,4727,4096,94,2109,6138,6004,5737,5202
850,61,-29,6052,3913,7826,7461,6731,5270,2348,4697,4196,2057,5970,5605,4875,4096,492,4096
851,50,-18,1202,2404,4809,1427,2854,5709,3226,6452,50,1252,4096,275,1702,4557,2074,5300
852,52,-20,4713,1235,2471,4943,1694,3389,6778,5365,4096,0,1191,4096,414,2109,5498,4096
853,61,-29,2538,5077,1962,3924,7848,7505,6818,5445,682,4096,106,2068,5992,5649,4962,4096
854,42,-10,2698,5397,2603,5206,2220,4440,689,1379,2058,4757,1963,4566,1580,4096,49,739
855,49,-17,2759,5519,2847,5694,3197,6395,4598,1004,1671,4431,1759,4606,2109,5307,4096,0
856,62,-30,2009,4018,8036,7880,7568,6944,5696,3200,89,2098,6116,5960,5648,5024,4096,1280
857,36,-4,6401,4610,1029,2059,4119,46,92,184,6145,4354,773,1803,4096,0,0,0
858,56,-24,369,738,1477,2954,5909,3627,7254,6316,0,0,0,1418,4373,2091,5718,4780
859,50,-18,4441,690,1380,2760,5521,2850,5700,3208,4096,0,228,1608,4369,1698,4548,2056
860,36,-4,6416,4641,1090,2181,4363,534,1068,2136,6160,4385,834,1925,4107,278,812,1880
861,48,-16,4272,352,704,1408,2817,5635,3079,6158,4096,0,0,384,1793,4611,2055,5134
862,56,-24,4124,56,112,224,449,898,1797,3594,4096,0,0,0,0,0,261,2058
863,48,-16,7188,6185,4178,165,330,661,1323,2646,6164,5161,4096,0,0,0,299,1622
864,45,-13,5293,2394,4788,1384,2768,5536,2880,5760,4461,1562,4096,552,1936,4704,2048,4928
865,52,-20,3328,6656,5121,2051,4102,12,25,50,2048,5376,4096,771,4096,0,0,0
866,50,-18,101,202,405,810,1621,3243,6486,4781,0,0,0,0,469,2091,5334,4096
867,55,-23,1371,2743,5486,2780,5560,2929,5858,3525,0,1271,4096,1308,4096,1457,4386,2053
868,56,-24,7051,5911,3630,7261,6330,4469,746,1493,5515,4375,2094,5725,4794,4096,0,0
869,58,-26,2986,5973,3755,7510,6829,5466,2741,5482,1322,4309,2091,5846,5165,4096,1077,4096
870,53,-21,2772,5544,2897,5794,3396,6792,5393,2595,1428,4200,1553,4450,2052,5448,4096,1251
871,35,-3,5191,2190,4381,570,1141,2283,4566,941,4999,1998,4189,378,949,2091,4374,749
872,58,-26,1883,3767,7535,6879,5567,2943,5886,3580,219,2103,5871,5215,4096,1279,4222,1916
873,63,-31,7161,6130,4068,8136,8080,7969,7747,7302,5177,4146,2084,6152,6096,5985,5763,5318
874,36,-4,6412,4632,1072,2145,4291,391,782,1565,6156,4376,816,1889,4096,135,526,1309
875,59,-27,3131,6263,4334,476,953,1906,3812,7625,1403,4535,4096,0,0,178,2084,5897
876,57,-25,7058,5924,3657,7315,6438,4684,1176,2352,5458,4324,2057,5715,4838,4096,0,752
877,48,-16,4705,1218,2436,4873,1555,3110,6221,4250,4096,194,1412,4096,531,2086,5197,4096
878,53,-21,309,619,1239,2479,4959,1726,3453,6906,0,0,0,1135,4096,382,2109,5562
879,62,-30,5621,3051,6102,4013,8026,7861,7530,6868,4096,1131,4182,2093,6106,5941,5610,4948
880,53,-21,5544,2897,5795,3399,6799,5406,2620,5241,4200,1553,4451,2055,5455,4096,1276,4096
881,60,-28,2291,4583,975,1951,3902,7805,7419,6647,499,4096,0,159,2110,6013,5627,4855
882,62,-30,5103,2014,4028,8056,7921,7651,7111,6031,4096,94,2108,6136,6001,5731,5191,4111
883,61,-29,3870,7741,7290,6388,4584,976,1953,3906,2014,5885,5434,4532,4096,0,97,2050
884,58,-26,7812,7432,6673,5155,2118,4236,281,562,6148,5768,5009,4096,454,4096,0,0
885,50,-18,1124,2249,4499,806,1612,3224,6449,4707,0,1097,4096,0,460,2072,5297,4096
886,49,-17,1223,2446,4893,1595,3190,6380,4569,946,135,1358,4096,507,2102,5292,4096,0
887,59,-27,1892,3784,7568,6944,5697,3203,6407,4623,164,2056,5840,5216,4096,1475,4679,4096
888,62,-30,1055,2110,4220,249,498,996,1992,3984,0,190,4096,0,0,0,72,2064
889,60,-28,7969,7747,7303,6414,4636,1080,2161,4322,6177,5955,5511,4622,4096,0,369,4096
890,56,-24,452,904,1808,3616,7233,6274,4357,523,0,0,272,2080,5697,4738,4096,0
891,44,-12,1046,2092,4184,176,353,706,1413,2827,278,1324,4096,0,0,0,645,2059
892,48,-16,5654,3117,6235,4279,367,734,1469,2939,4630,2093,5211,4096,0,0,445,1915
893,61,-29,5879,3567,7134,6077,3962,7924,7657,7123,4096,1711,5278,4221,2106,6068,5801,5267
894,61,-29,6054,3917,7834,7477,6763,5335,2479,4958,4198,2061,5978,5621,4907,4096,623,4096
895,60,-28,1724,3449,6898,5605,3019,6039,3886,7773,0,1657,5106,4096,1227,4247,2094,5981
896,59,-27,7355,6518,4844,1497,2995,5991,3791,7582,5627,4790,4096,0,1267,4263,2063,5854
897,60,-28,6972,5752,3313,6627,5063,1934,3868,7736,5180,4096,1521,4835,4096,142,2076,5944
898,56,-24,7280,6368,4545,899,1799,3598,7197,6203,5744,4832,4096,0,263,2062,5661,4667
899,59,-27,4214,237,474,949,1899,3799,7598,7004,4096,0,0,0,171,2071,5870,5276
900,56,-24,5816,3441,6882,5572,2953,5906,3620,7240,4280,1905,5346,4096,1417,4370,2084,5704
901,36,-4,6289,4386,581,1162,2325,4650,1109,2218,6033,4130,325,906,2069,4394,853,1962
902,42,-10,4437,682,1365,2731,5463,2734,5468,2744,4096,42,725,2091,4823,2094,4828,2104
903,56,-24,5488,2785,5570,2948,5897,3602,7204,6216,4096,1249,4096,1412,4361,2066,5668,4680
904,36,-4,4241,290,580,1160,2320,4640,1089,2179,4096,34,324,904,2064,4384,833,1923
905,32,0,4358,524,1048,2096,4193,195,391,783,4358,524,1048,2096,4193,195,391,783
906,62,-30,1567,3134,6269,4346,500,1000,2001,4003,0,1214,4349,4096,0,0,81,2083
907,61,-29,8006,7820,7448,6704,5216,2241,4483,774,6150,5964,5592,4848,4096,385,4096,0
908,48,-16,1548,3096,6193,4194,196,393,787,1575,524,2072,5169,4096,0,0,0,551
909,49,-17,3151,6302,4413,635,1270,2541,5082,1972,2063,5214,4096,0,182,1453,4096,884
910,61,-29,3945,7891,7591,6991,5791,3390,6780,5369,2089,6035,5735,5135,4096,1534,4924,4096
911,62,-30,2546,5093,1995,3991,7983,7774,7357,6523,626,4096,75,2071,6063,5854,5437,4603
912,61,-29,4855,1519,3039,6079,3966,7932,7672,7152,4096,0,1183,4223,2110,6076,5816,5296
913,63,-31,6112,4033,8067,7943,7694,7197,6203,4215,4128,2049,6083,5959,5710,5213,4219,4096
914,59,-27,238,477,955,1911,3822,7644,7097,6003,0,0,0,183,2094,5916,5369,4275
915,59,-27,3815,7630,7068,5945,3698,7397,6602,5013,2087,5902,5340,4217,1970,5669,4874,4096
916,57,-25,1835,3670,7340,6488,4785,1378,2757,5514,235,2070,5740,4888,4096,0,1157,4096
917,49,-17,2836,5672,3153,6306,4420,648,1296,2593,1748,4584,2065,5218,4096,0,208,1505
918,34,-2,5187,2182,4364,536,1072,2145,4291,391,5059,2054,4236,408,944,2017,4163,263
919,48,-16,783,1566,3132,6265,4338,484,968,1937,0,542,2108,5241,4096,0,0,913
920,60,-28,3875,7750,7309,6427,4663,1135,2270,4541,2083,5958,5517,4635,4096,0,478,4096
921,61,-29,891,1782,3564,7129,6066,3940,7881,7570,0,0,1708,5273,4210,2084,6025,5714
922,50,-18,6948,5705,3219,6438,4685,1179,2358,4716,5796,4553,2067,5286,4096,27,1206,4096
923,54,-22,1240,2481,4962,1733,3467,6935,5679,3167,0,1073,4096,325,2059,5527,4271,1759
924,63,-31,6335,4479,767,1535,3070,6140,4088,8176,4351,4096,0,0,1086,4156,2104,6192
925,63,-31,8160,8128,8065,7939,7686,7181,6170,4148,6176,6144,6081,5955,5702,5197,4186,4096
926,52,-20,104,208,416,833,1667,3334,6668,5145,0,0,0,0,387,2054,5388,4096
927,50,-18,2098,4197,203,407,815,1631,3263,6527,946,4096,0,0,0,479,2111,5375
928,63,-31,4862,1533,3066,6133,4075,8150,8109,8027,4096,0,1082,4149,2091,6166,6125,6043
929,58,-26,7862,7532,6872,5553,2915,5830,3469,6938,6198,5868,5208,4096,1251,4166,1805,5274
930,52,-20,5684,3177,6354,4517,843,1687,3374,6749,4404,1897,5074,4096,0,407,2094,5469
931,59,-27,5307,2422,4845,1498,2997,5995,3799,7599,4096,694,4096,0,1269,4267,2071,5871
932,61,-29,7006,5821,3450,6900,5608,3024,6049,3907,5150,4096,1594,5044,4096,1168,4193,2051
933,58,-26,7814,7436,6681,5171,2151,4303,414,829,6150,5772,5017,4096,487,4096,0,0
934,61,-29,1658,3316,6633,5075,1958,3917,7835,7478,0,1460,4777,4096,102,2061,5979,5622
935,54,-22,6764,5336,2481,4963,1734,3469,6938,5684,5356,4096,1073,4096,326,2061,5530,4276
936,52,-20,3177,6355,4519,847,1694,3388,6777,5362,1897,5075,4096,0,414,2108,5497,4096
937,60,-28,2532,5065,1938,3877,7755,7319,6446,4700,740,4096,146,2085,5963,5527,4654,4096
938,57,-25,1209,2418,4836,1480,2960,5921,3651,7303,0,818,4096,0,1360,4321,2051,5703
939,36,-4,6415,4639,1087,2175,4351,511,1022,2044,6159,4383,831,1919,4096,255,766,1788
940,63,-31,4089,8179,8166,8141,8091,7990,7789,7387,2105,6195,6182,6157,6107,6006,5805,5403
941,54,-22,6582,4972,1752,3504,7008,5824,3457,6914,5174,4096,344,2096,5600,4416,2049,5506
942,48,-16,5637,3082,6164,4137,83,167,334,669,4613,2058,5140,4096,0,0,0,0
943,58,-26,1338,2677,5355,2519,5038,1885,3771,7542,0,1013,4096,855,4096,221,2107,5878
944,59,-27,6892,5593,2995,5991,3790,7581,6971,5751,5164,4096,1267,4263,2062,5853,5243,4096
945,59,-27,3310,6620,5049,1906,3813,7626,7060,5929,1582,4892,4096,178,2085,5898,5332,4201
946,57,-25,3667,7335,6478,4765,1339,2679,5358,2525,2067,5735,4878,4096,0,1079,4096,925
947,59,-27,5050,1909,3818,7637,7082,5973,3754,7509,4096,181,2090,5909,5354,4245,2026,5781
948,42,-10,6826,5460,2728,5457,2723,5446,2701,5403,6186,4820,2088,4817,2083,4806,2061,4763
949,54,-22,2614,5228,2264,4529,866,1732,3464,6928,1206,4096,856,4096,0,324,2056,5520
950,49,-17,5665,3139,6278,4365,538,1077,2155,4311,4577,2051,5190,4096,0,0,1067,4096
951,53,-21,430,861,1722,3444,6889,5587,2982,5964,0,0,378,2100,5545,4243,1638,4620
952,58,-26,3736,7473,6755,5319,2447,4894,1597,3195,2072,5809,5091,4096,783,4096,0,1531
953,61,-29,6390,4588,984,1968,3937,7874,7557,6922,4534,4096,0,112,2081,6018,5701,5066
954,48,-16,5652,3113,6226,4261,331,663,1327,2654,4628,2089,5202,4096,0,0,303,1630
955,60,-28,5308,2424,4849,1507,3014,6029,3867,7734,4096,632,4096,0,1222,4237,2075,5942
956,54,-22,7277,6362,4533,874,1749,3499,6999,5806,5869,4954,4096,0,341,2091,5591,4398
957,58,-26,3421,6842,5492,2793,5587,2982,5964,3736,1757,5178,4096,1129,4096,1318,4300,2072
958,52,-20,7473,6755,5318,2445,4891,1591,3182,6365,6193,5475,4096,1165,4096,311,1902,5085
959,58,-26,4538,885,1771,3542,7084,5977,3763,7526,4096,0,107,1878,5420,4313,2099,5862
960,51,-19,6860,5529,2867,5734,3276,6553,4915,1639,5644,4313,1651,4518,2060,5337,4096,423
961,51,-19,3279,6559,4927,1662,3324,6649,5107,2023,2063,5343,4096,446,2108,5433,4096,807
962,63,-31,4046,8092,7992,7792,7392,6593,4995,1798,2062,6108,6008,5808,5408,4609,4096,0
963,56,-24,3596,7193,6194,4196,201,403,806,1612,2060,5657,4658,4096,0,0,0,76
964,50,-18,3225,6450,4708,1225,2450,4901,1610,3220,2073,5298,4096,73,1298,4096,458,2068
965,41,-9,6441,4690,1188,2377,4754,1316,2633,5267,5865,4114,612,1801,4178,740,2057,4691
966,38,-6,2342,4685,1178,2356,4712,1233,2467,4934,1958,4301,794,1972,4328,849,2083,4550
967,52,-20,1677,3355,6710,5228,2265,4530,868,1736,397,2075,5430,4096,985,4096,0,456
968,54,-22,3473,6946,5701,3210,6420,4648,1104,2209,2065,5538,4293,1802,5012,4096,0,801
969,40,-8,4418,645,1291,2582,5164,2136,4272,352,4096,133,779,2070,4652,1624,4096,0
970,48,-16,704,1409,2818,5637,3083,6167,4142,93,0,385,1794,4613,2059,5143,4096,0
971,59,-27,187,375,750,1501,3002,6004,3816,7633,0,0,0,0,1274,4276,2088,5905
972,58,-26,7075,5958,3724,7448,6704,5216,2240,4480,5411,4294,2060,5784,5040,4096,576,4096
973,48,-16,768,1536,3072,6145,4099,7,15,31,0,512,2048,5121,4096,0,0,0
974,62,-30,62,125,251,503,1007,2014,4028,8057,0,0,0,0,0,94,2108,6137
975,60,-28,7922,7652,7112,6033,3875,7750,7309,6426,6130,5860,5320,4241,2083,5958,5517,4634
976,52,-20,4660,1129,2258,4516,841,1682,3365,6730,4096,0,978,4096,0,402,2085,5450
977,41,-9,5268,2345,4690,1188,2377,4755,1319,2639,4692,1769,4114,612,1801,4179,743,2063
978,61,-29,5278,2365,4731,1271,2542,5085,1979,3958,4096,509,4096,0,686,4096,123,2102
979,59,-27,7917,7643,7095,5999,3806,7613,7034,5876,6189,5915,5367,4271,2078,5885,5306,4148
980,61,-29,3560,7121,6050,3908,7816,7441,6690,5188,1704,5265,4194,2052,5960,5585,4834,4096
981,34,-2,2185,4371,550,1100,2200,4401,611,1222,2057,4243,422,972,2072,4273,483,1094
982,49,-17,2444,4888,1585,3171,6342,4492,793,1586,1356,4096,497,2083,5254,4096,0,498
983,50,-18,3172,6345,4498,805,1611,3223,6447,4703,2020,5193,4096,0,459,2071,5295,4096
984,62,-30,1214,2428,4856,1521,3042,6084,3976,7952,0,508,4096,0,1122,4164,2056,6032
985,56,-24,7712,7232,6272,4352,513,1026,2052,4105,6176,5696,4736,4096,0,0,516,4096
986,39,-7,19,39,78,157,314,628,1257,2515,0,0,0,0,0,180,809,2067
987,58,-26,5030,1869,3739,7479,6767,5343,2495,4991,4096,205,2075,5815,5103,4096,831,4096
988,63,-31,1790,3581,7162,6132,4072,8145,8098,8004,0,1597,5178,4148,2088,6161,6114,6020
989,58,-26,7816,7441,6691,5190,2189,4378,565,1131,6152,5777,5027,4096,525,4096,0,0
990,53,-21,2262,4525,858,1717,3434,6868,5545,2899,918,4096,0,373,2090,5524,4201,1555
991,53,-21,5798,3404,6809,5427,2663,5327,2463,4926,4454,2060,5465,4096,1319,4096,1119,4096
992,62,-30,1660,3321,6642,5093,1994,3989,7979,7767,0,1401,4722,4096,74,2069,6059,5847
993,50,-18,7342,6493,4794,1397,2795,5591,2991,5983,6190,5341,4096,245,1643,4439,1839,4831
994,63,-31,3775,7550,6908,5624,3057,6115,4039,8078,1791,5566,4924,4096,1073,4131,2055,6094
995,60,-28,7965,7738,7284,6376,4560,928,1857,3714,6173,5946,5492,4584,4096,0,65,1922
996,52,-20,7429,6667,5143,2094,4188,184,368,737,6149,5387,4096,814,4096,0,0,0
997,56,-24,1475,2951,5903,3614,7229,6266,4341,490,0,1415,4367,2078,5693,4730,4096,0
998,61,-29,980,1960,3920,7840,7488,6785,5379,2567,0,104,2064,5984,5632,4929,4096,711
999,32,0,5134,2077,4155,118,237,474,949,1898,5134,2077,4155,118,237,474,949,1898
