cycle,stream,A,B,OP,E_est,MODE,RESULT,ACC,PE_ACC,UF,OVF,RO,REGION
42,A,081e,0930,MUL,37,0,0952,00009c33,00009c33,0,0,0,STABLE
43,B,081c,03fc,MUL,16,3,0419,0000a585,00009c33,0,0,0,TRANSITION
44,C,0580,07c0,MUL,21,2,0540,0000a585,0000a585,0,0,0,STABLE
45,A,0833,073f,MUL,29,0,0772,0000a585,0000a585,0,0,0,STABLE
46,B,0827,03a6,MUL,15,0,03d2,0000acf7,0000a585,0,0,0,COLLAPSE
47,C,0540,0840,MUL,22,2,0580,0000acf7,0000acf7,0,0,0,STABLE
48,A,081a,0500,ADD,32,0,081a,0000acf7,0000acf7,0,0,0,STABLE
49,B,083c,0b35,MUL,45,2,0b71,0000b511,0000acf7,0,0,0,TRANSITION
50,C,0580,07c0,MUL,21,2,0540,0000b511,0000b511,0,0,0,STABLE
51,A,0815,0610,SUB,32,0,0805,0000b511,0000b511,0,0,0,STABLE
52,B,0826,0b6b,MUL,46,3,0b95,0000bd16,0000b511,0,0,0,TRANSITION
53,C,0540,07c0,MUL,20,2,0500,0000bd16,0000bd16,0,0,0,STABLE
54,A,082d,071f,MUL,29,0,0750,0000bd16,0000bd16,0,0,0,STABLE
55,B,0835,0b9b,MUL,47,0,0bd3,0000c466,0000bd16,0,0,0,TRANSITION
56,C,0500,07c0,MUL,19,2,04c0,0000c466,0000c466,0,0,0,TRANSITION
57,A,082c,0800,MUL,32,0,082c,0000c466,0000c466,0,0,0,STABLE
58,B,082b,0bd9,MUL,48,2,0c0a,0000cc92,0000c466,0,0,0,SATURATE
59,C,04c0,04c0,ADD,19,2,04c0,0000cc92,0000cc92,0,0,0,TRANSITION
60,A,0827,0910,MUL,37,0,0940,0000cc92,0000cc92,0,0,0,STABLE
61,B,081b,0c0e,MUL,48,3,0c2e,0000d5d2,0000cc92,0,0,0,SATURATE
62,C,04c0,07c0,MUL,18,2,0480,0000d5d2,0000d5d2,0,0,0,TRANSITION
63,A,0839,0a1f,MUL,41,0,0a59,0000d5d2,0000d5d2,0,0,0,STABLE
64,B,0819,0c73,MUL,50,0,0c8f,0000e02b,0000d5d2,0,0,0,SATURATE
65,C,0480,07c0,MUL,17,2,0440,0000e02b,0000e02b,0,0,0,TRANSITION
66,A,080c,0930,ADD,32,0,083c,0000e02b,0000e02b,0,0,0,STABLE
67,B,080e,0bd8,MUL,47,2,0beb,0000e867,0000e02b,0,0,0,TRANSITION
68,C,0440,07c0,MUL,16,2,0400,0000e867,0000e867,0,0,0,TRANSITION
69,A,0822,073f,SUB,16,0,0400,0000e867,0000e867,0,0,0,TRANSITION
70,B,0833,0b84,MUL,31,3,07c6,0000e867,0000e867,0,0,0,STABLE
71,C,0400,0840,MUL,17,2,0440,0000e867,0000e867,0,0,0,TRANSITION
72,A,0812,0500,MUL,20,0,0512,00000000,0000e867,0,0,0,STABLE
73,B,0818,0b24,MUL,45,0,0b44,00000512,00000000,0,0,0,TRANSITION
74,C,0800,07c0,MUL,31,0,07c0,00000512,00000512,0,0,0,STABLE
75,A,0812,0610,MUL,24,0,0626,00000cd2,00000512,0,0,0,STABLE
76,B,0804,0b64,MUL,45,2,0b6a,000012f8,00000cd2,0,0,0,TRANSITION
77,C,07c0,07c0,MUL,30,0,0780,000012f8,000012f8,0,0,0,STABLE
78,A,0811,071f,MUL,28,0,0738,00001a78,000012f8,0,0,0,STABLE
79,B,0824,0ba2,MUL,47,3,0bcc,000021b0,00001a78,0,0,0,TRANSITION
80,C,0780,07c0,MUL,29,0,0740,000021b0,000021b0,0,0,0,STABLE
81,A,080b,0800,MUL,32,0,080b,000028f0,000021b0,0,0,0,STABLE
82,B,0824,0bd6,MUL,48,0,0c03,000030fb,000028f0,0,0,0,SATURATE
83,C,0740,0740,ADD,29,0,0740,000030fb,000030fb,0,0,0,STABLE
84,A,0818,0910,ADD,32,0,0828,0000383b,000030fb,0,0,0,STABLE
85,B,0822,0c30,MUL,49,2,0c55,00004063,0000383b,0,0,0,SATURATE
86,C,0740,07c0,MUL,28,0,0700,00004063,00004063,0,0,0,STABLE
87,A,0800,0a1f,SUB,28,0,0700,00004763,00004063,0,0,0,STABLE
88,B,0816,0c41,MUL,31,3,07c2,00004763,00004763,0,0,0,STABLE
89,C,0700,07c0,MUL,27,0,06c0,00004763,00004763,0,0,0,STABLE
90,A,0807,0930,MUL,36,0,093c,00004e23,00004763,0,0,0,STABLE
91,B,0830,0bce,MUL,48,0,0c04,0000575f,00004e23,0,0,0,SATURATE
92,C,06c0,07c0,MUL,26,0,0680,0000575f,0000575f,0,0,0,STABLE
93,A,0839,073f,MUL,29,0,0778,00005ddf,0000575f,0,0,0,STABLE
94,B,0801,0bb3,MUL,46,2,0bb4,00006557,00005ddf,0,0,0,TRANSITION
95,C,0680,0840,MUL,27,0,06c0,00006557,00006557,0,0,0,STABLE
96,A,080f,0500,MUL,20,0,050f,00006c17,00006557,0,0,0,STABLE
97,B,080e,031f,MUL,12,3,0333,00007126,00006c17,0,0,0,COLLAPSE
98,C,06c0,07c0,MUL,26,0,0680,00007126,00007126,0,0,0,STABLE
99,A,083d,0610,MUL,25,0,064e,00007126,00007126,0,0,0,STABLE
100,B,0833,037b,MUL,14,0,03ae,00007774,00007126,0,0,0,COLLAPSE
101,C,0680,07c0,MUL,25,2,0640,00007774,00007774,0,0,0,STABLE
102,A,082c,071f,ADD,33,0,0845,00007774,00007774,0,0,1,STABLE
