cycle,class,E,depth,region,mode,action,boundary_flag,override_flag
41,A,1,9,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
42,A,1,10,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
43,A,1,11,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
44,A,1,12,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
45,A,1,13,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
46,A,1,14,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
47,A,1,15,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
48,A,1,16,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
49,A,1,17,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
50,A,1,18,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
51,A,1,19,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
52,A,1,20,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
53,A,1,21,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
54,A,1,22,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
55,A,1,23,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
56,A,1,24,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
57,A,1,25,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
58,A,1,26,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
59,A,1,27,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
60,A,1,28,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
61,A,1,29,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
62,A,1,30,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
63,A,1,31,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
64,A,2,0,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
65,A,2,1,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
66,A,2,2,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
67,A,2,3,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
68,A,2,4,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
69,A,2,5,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
70,A,2,6,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
71,A,2,7,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
72,A,2,8,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
73,A,2,9,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
74,A,2,10,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
75,A,2,11,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
76,A,2,12,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
77,A,2,13,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
78,A,2,14,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
79,A,2,15,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
80,A,2,16,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
81,A,2,17,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
82,A,2,18,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
83,A,2,19,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
84,A,2,20,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
85,A,2,21,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
86,A,2,22,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
87,A,2,23,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
88,A,2,24,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
89,A,2,25,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
90,A,2,26,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
91,A,2,27,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
92,A,2,28,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
93,A,2,29,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
94,A,2,30,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
95,A,2,31,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
96,A,3,0,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
97,A,3,1,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
98,A,3,2,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
99,A,3,3,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
100,A,3,4,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
101,A,3,5,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
102,A,3,6,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
103,A,3,7,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
104,A,3,8,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
105,A,3,9,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
106,A,3,10,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
107,A,3,11,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
108,A,3,12,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
109,A,3,13,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
110,A,3,14,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
111,A,3,15,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
112,A,3,16,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
113,A,3,17,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
114,A,3,18,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
115,A,3,19,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
116,A,3,20,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
117,A,3,21,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
118,A,3,22,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
119,A,3,23,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
120,A,3,24,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
121,A,3,25,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
122,A,3,26,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
123,A,3,27,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
124,A,3,28,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
125,A,3,29,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
126,A,3,30,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
127,A,3,31,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
128,A,4,0,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
129,A,4,1,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
130,A,4,2,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
131,A,4,3,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
132,A,4,4,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
133,A,4,5,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
134,A,4,6,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
135,A,4,7,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
136,A,4,8,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
137,A,4,9,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
138,A,4,10,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
139,A,4,11,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
140,A,4,12,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
141,A,4,13,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
142,A,4,14,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
143,A,4,15,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
144,A,4,16,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
145,A,4,17,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
146,A,4,18,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
147,A,4,19,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
148,A,4,20,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
149,A,4,21,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
150,A,4,22,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
151,A,4,23,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
152,A,4,24,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
153,A,4,25,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
154,A,4,26,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
155,A,4,27,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
156,A,4,28,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
157,A,4,29,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
158,A,4,30,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
159,A,4,31,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
160,A,5,0,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
161,A,5,1,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
162,A,5,2,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
163,A,5,3,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
164,A,5,4,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
165,A,5,5,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
166,A,5,6,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
167,A,5,7,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
168,A,5,8,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
169,A,5,9,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
170,A,5,10,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
171,A,5,11,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
172,A,5,12,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
173,A,5,13,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
174,A,5,14,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
175,A,5,15,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
176,A,5,16,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
177,A,5,17,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
178,A,5,18,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
179,A,5,19,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
180,A,5,20,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
181,A,5,21,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
182,A,5,22,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
183,A,5,23,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
184,A,5,24,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
185,A,5,25,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
186,A,5,26,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
187,A,5,27,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
188,A,5,28,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
189,A,5,29,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
190,A,5,30,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
191,A,5,31,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
192,A,6,0,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
193,A,6,1,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
194,A,6,2,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
195,A,6,3,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
196,A,6,4,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
197,A,6,5,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
198,A,6,6,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
199,A,6,7,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
200,A,6,8,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
201,A,6,9,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
202,A,6,10,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
203,A,6,11,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
204,A,6,12,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
205,A,6,13,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
206,A,6,14,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
207,A,6,15,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
208,A,6,16,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
209,A,6,17,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
210,A,6,18,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
211,A,6,19,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
212,A,6,20,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
213,A,6,21,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
214,A,6,22,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
215,A,6,23,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
216,A,6,24,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
217,A,6,25,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
218,A,6,26,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
219,A,6,27,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
220,A,6,28,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
221,A,6,29,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
222,A,6,30,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
223,A,6,31,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
224,A,7,0,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
225,A,7,1,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
226,A,7,2,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
227,A,7,3,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
228,A,7,4,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
229,A,7,5,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
230,A,7,6,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
231,A,7,7,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
232,A,7,8,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
233,A,7,9,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
234,A,7,10,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
235,A,7,11,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
236,A,7,12,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
237,A,7,13,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
238,A,7,14,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
239,A,7,15,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
240,A,7,16,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
241,A,7,17,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
242,A,7,18,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
243,A,7,19,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
244,A,7,20,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
245,A,7,21,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
246,A,7,22,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
247,A,7,23,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
248,A,7,24,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
249,A,7,25,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
250,A,7,26,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
251,A,7,27,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
252,A,7,28,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
253,A,7,29,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
254,A,7,30,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
255,A,7,31,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
256,A,8,0,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
257,A,8,1,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
258,A,8,2,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
259,A,8,3,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
260,A,8,4,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
261,A,8,5,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
262,A,8,6,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
263,A,8,7,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
264,A,8,8,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
265,A,8,9,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
266,A,8,10,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
267,A,8,11,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
268,A,8,12,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
269,A,8,13,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
270,A,8,14,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
271,A,8,15,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
272,A,8,16,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
273,A,8,17,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
274,A,8,18,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
275,A,8,19,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
276,A,8,20,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
277,A,8,21,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
278,A,8,22,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
279,A,8,23,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
280,A,8,24,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
281,A,8,25,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
282,A,8,26,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
283,A,8,27,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
284,A,8,28,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
285,A,8,29,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
286,A,8,30,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
287,A,8,31,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
288,A,9,0,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
289,A,9,1,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
290,A,9,2,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
291,A,9,3,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
292,A,9,4,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
293,A,9,5,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
294,A,9,6,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
295,A,9,7,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
296,A,9,8,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
297,A,9,9,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
298,A,9,10,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
299,A,9,11,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
300,A,9,12,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
301,A,9,13,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
302,A,9,14,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
303,A,9,15,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
304,A,9,16,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
305,A,9,17,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
306,A,9,18,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
307,A,9,19,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
308,A,9,20,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
309,A,9,21,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
310,A,9,22,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
311,A,9,23,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
312,A,9,24,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
313,A,9,25,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
314,A,9,26,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
315,A,9,27,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
316,A,9,28,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
317,A,9,29,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
318,A,9,30,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
319,A,9,31,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
320,A,10,0,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
321,A,10,1,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
322,A,10,2,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
323,A,10,3,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
324,A,10,4,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
325,A,10,5,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
326,A,10,6,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
327,A,10,7,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
328,A,10,8,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
329,A,10,9,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
330,A,10,10,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
331,A,10,11,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
332,A,10,12,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
333,A,10,13,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
334,A,10,14,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
335,A,10,15,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
336,A,10,16,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
337,A,10,17,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
338,A,10,18,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
339,A,10,19,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
340,A,10,20,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
341,A,10,21,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
342,A,10,22,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
343,A,10,23,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
344,A,10,24,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
345,A,10,25,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
346,A,10,26,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
347,A,10,27,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
348,A,10,28,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
349,A,10,29,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
350,A,10,30,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
351,A,10,31,COLLAPSE,010,INSERT_EPOCH_BOUNDARY,0,1
352,A,11,0,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
353,A,11,1,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
354,A,11,2,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
355,A,11,3,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
356,A,11,4,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
357,A,11,5,COLLAPSE,011,SENTINEL_OR_SKIP,0,0
