t,lambda_dut,lambda_gold,alignment
164,5.613878,7.163541,0.990923
165,5.613878,7.163541,0.990923
166,5.613878,7.163541,0.990923
167,5.613878,7.163541,0.990923
168,5.613878,7.163541,0.990923
169,5.613878,7.163541,0.990923
170,5.613878,7.163541,0.990923
171,5.613878,7.163541,0.990923
172,5.613878,7.163541,0.990923
173,5.613878,7.163541,0.990923
174,5.613878,7.163541,0.990923
175,5.613878,7.163541,0.990923
176,5.613878,7.163541,0.990923
177,5.613878,7.163541,0.990923
178,5.613878,7.163541,0.990923
179,5.613878,7.163541,0.990923
180,5.613878,7.163541,0.990923
181,5.613878,7.163541,0.990923
182,5.613878,7.163541,0.990923
183,5.613878,7.163541,0.990923
184,5.613878,7.163541,0.990923
185,5.613878,7.163541,0.990923
186,5.613878,7.163541,0.990923
187,5.613878,7.163541,0.990923
188,5.613878,7.163541,0.990923
189,5.613878,7.163541,0.990923
190,5.613878,7.163541,0.990923
191,5.613878,7.163541,0.990923
192,5.613878,7.163541,0.990923
193,5.613878,7.163541,0.990923
194,5.613878,7.163541,0.990923
195,5.613878,7.163541,0.990923
196,5.613878,7.163541,0.990923
197,5.613878,7.163541,0.990923
198,5.613878,7.163541,0.990923
199,5.613878,7.163541,0.990923
200,5.613878,7.163541,0.990923
201,5.613878,7.163541,0.990923
202,5.613878,7.163541,0.990923
203,5.613878,7.163541,0.990923
204,5.613878,7.163541,0.990923
205,5.613878,7.163541,0.990923
206,5.613878,7.163541,0.990923
207,5.613878,7.163541,0.990923
208,5.613878,7.163541,0.990923
209,5.613878,7.163541,0.990923
210,5.613878,7.163541,0.990923
211,5.613878,7.163541,0.990923
212,5.613878,7.163541,0.990923
213,5.613878,7.163541,0.990923
214,5.613878,7.163541,0.990923
215,5.613878,7.163541,0.990923
216,5.613878,7.163541,0.990923
217,5.613878,7.163541,0.990923
218,5.613878,7.163541,0.990923
219,5.613878,7.163541,0.990923
220,5.613878,7.163541,0.990923
221,5.613878,7.163541,0.990923
222,5.613878,7.163541,0.990923
223,5.613878,7.163541,0.990923
224,5.613878,7.163541,0.990923
225,5.613878,7.163541,0.990923
226,5.613878,7.163541,0.990923
227,5.613878,7.163541,0.990923
228,5.613878,7.163541,0.990923
229,5.613878,7.163541,0.990923
230,5.613878,7.163541,0.990923
231,5.613878,7.163541,0.990923
232,5.613878,7.163541,0.990923
233,5.613878,7.163541,0.990923
234,5.613878,7.163541,0.990923
235,5.613878,7.163541,0.990923
236,5.613878,7.163541,0.990923
237,5.613878,7.163541,0.990923
238,5.613878,7.163541,0.990923
239,5.613878,7.163541,0.990923
240,5.613878,7.163541,0.990923
241,5.613878,7.163541,0.990923
242,5.613878,7.163541,0.990923
243,5.613878,7.163541,0.990923
244,5.613878,7.163541,0.990923
245,5.613878,7.163541,0.990923
246,5.613878,7.163541,0.990923
247,5.613878,7.163541,0.990923
248,5.613878,7.163541,0.990923
249,5.613878,7.163541,0.990923
250,5.613878,7.163541,0.990923
251,5.613878,7.163541,0.990923
252,5.613878,7.163541,0.990923
253,5.613878,7.163541,0.990923
254,5.613878,7.163541,0.990923
255,5.613878,7.163541,0.990923
256,5.613878,7.163541,0.990923
